HomeTeam,AwayTeam,HomeGoals,AwayGoals
Birmingham City,Middlesbrough FC,0,3
Stoke City,Leeds United,3,0
Sheffield United,Queens Park Rangers,1,1
Newcastle United,Coventry City,3,2
Manchester City,West Ham United,4,0
Luton Town,Liverpool FC,1,2
Leicester City,Arsenal FC,0,1
Everton FC,Derby County,0,0
Chelsea FC,Carlisle United,0,2
Burnley FC,Wolverhampton Wanderers,1,2
Tottenham Hotspur,Ipswich Town,0,1
West Ham United,Luton Town,2,0
Wolverhampton Wanderers,Liverpool FC,0,0
Middlesbrough FC,Carlisle United,0,2
Everton FC,Stoke City,2,1
Birmingham City,Leicester City,3,4
Arsenal FC,Ipswich Town,0,1
Chelsea FC,Burnley FC,3,3
Derby County,Coventry City,1,1
Leeds United,Queens Park Rangers,0,1
Manchester City,Tottenham Hotspur,1,0
Newcastle United,Sheffield United,2,2
Arsenal FC,Manchester City,4,0
West Ham United,Everton FC,2,3
Queens Park Rangers,Stoke City,0,1
Middlesbrough FC,Luton Town,1,1
Liverpool FC,Leicester City,2,1
Leeds United,Birmingham City,1,0
Ipswich Town,Burnley FC,2,0
Derby County,Sheffield United,2,0
Coventry City,Chelsea FC,1,3
Carlisle United,Tottenham Hotspur,1,0
Wolverhampton Wanderers,Newcastle United,4,2
Burnley FC,Chelsea FC,1,2
Sheffield United,Newcastle United,2,1
Queens Park Rangers,Leeds United,1,1
Liverpool FC,Wolverhampton Wanderers,2,0
Ipswich Town,Arsenal FC,3,0
Coventry City,Derby County,1,1
Carlisle United,Middlesbrough FC,0,1
Leicester City,Birmingham City,1,1
Luton Town,West Ham United,0,0
Stoke City,Everton FC,1,1
Tottenham Hotspur,Manchester City,1,2
Birmingham City,Wolverhampton Wanderers,1,1
Stoke City,Middlesbrough FC,1,1
Sheffield United,Ipswich Town,3,1
Newcastle United,West Ham United,2,0
Manchester City,Leeds United,2,1
Luton Town,Queens Park Rangers,1,1
Leicester City,Carlisle United,1,1
Everton FC,Arsenal FC,2,1
Chelsea FC,Liverpool FC,0,3
Burnley FC,Coventry City,3,0
Tottenham Hotspur,Derby County,2,0
Arsenal FC,Burnley FC,0,1
West Ham United,Sheffield United,1,2
Queens Park Rangers,Birmingham City,0,1
Middlesbrough FC,Chelsea FC,1,1
Liverpool FC,Tottenham Hotspur,5,2
Leeds United,Luton Town,1,1
Ipswich Town,Everton FC,1,0
Derby County,Newcastle United,2,2
Coventry City,Manchester City,2,2
Carlisle United,Stoke City,0,2
Wolverhampton Wanderers,Leicester City,1,1
Birmingham City,Derby County,3,2
Stoke City,Coventry City,2,0
Sheffield United,Middlesbrough FC,1,0
Newcastle United,Carlisle United,1,0
Manchester City,Liverpool FC,2,0
Luton Town,Ipswich Town,1,4
Leicester City,Queens Park Rangers,3,1
Everton FC,Wolverhampton Wanderers,0,0
Chelsea FC,Arsenal FC,0,0
Burnley FC,Leeds United,2,1
Tottenham Hotspur,West Ham United,2,1
Arsenal FC,Luton Town,2,2
West Ham United,Leicester City,6,2
Queens Park Rangers,Newcastle United,1,2
Middlesbrough FC,Manchester City,3,0
Liverpool FC,Stoke City,3,0
Leeds United,Sheffield United,5,1
Ipswich Town,Chelsea FC,2,0
Derby County,Burnley FC,3,2
Coventry City,Everton FC,1,1
Carlisle United,Birmingham City,1,0
Wolverhampton Wanderers,Tottenham Hotspur,2,3
Carlisle United,Manchester City,0,0
Wolverhampton Wanderers,Sheffield United,1,1
Queens Park Rangers,Everton FC,2,2
Liverpool FC,Burnley FC,0,1
Ipswich Town,Stoke City,3,1
Coventry City,Luton Town,2,1
Derby County,Chelsea FC,4,1
West Ham United,Birmingham City,3,0
Leeds United,Tottenham Hotspur,2,1
Middlesbrough FC,Leicester City,3,0
Newcastle United,Arsenal FC,3,1
Leicester City,Coventry City,0,1
Newcastle United,Ipswich Town,1,0
Tottenham Hotspur,Middlesbrough FC,1,2
Birmingham City,Arsenal FC,3,1
Stoke City,Derby County,1,1
Sheffield United,Liverpool FC,1,0
Manchester City,Queens Park Rangers,1,0
Luton Town,Carlisle United,3,1
Everton FC,Leeds United,3,2
Chelsea FC,Wolverhampton Wanderers,0,1
Burnley FC,West Ham United,3,5
